english,chinese,examples
freediving,[U] the sport or activity of diving without the aid of breathing equipment （不使用呼吸装备的) 自由潜水,e.g. They noticed she was very good at holding her breath and suggested she try [[freediving]].
championship,"[C] (also championships) a competition to find which player, team, etc. is the best in a particular sport 锦标赛；冠军赛",e.g. The sixth game of the World Chess [[Championship]] will be broadcast tonight on Channel 6.
superficial,not studying or looking at sth. carefully and only seeing the most noticeable things 肤浅的；浅薄的；不深入的,e.g. Unfortunately I only had a very [[superficial]] knowledge of music.
nonetheless,(fml.) in spite of the fact that has just been mentioned 然而；但是；尽管如此；虽然如此,"e.g. The region was extremely beautiful. [[Nonetheless]], Gerard could not imagine spending the rest of his life there."
spectator,[C] sb. who is watching an event or a game （活动或体育比赛的）观看者，观众,"e.g. The final baseball game which was held last Thursday attracted a crowd of over 50,000 [[spectators]]."
diver,"[C] sb. who swims or works under water, usu. with special equipment to help them breathe （通常使用特种呼吸辅助装备的）潜水员","e.g. Twenty minutes later, a [[diver]] surfaced and handed a metal box to the elderly gentleman."
dangle,"hang or swing loosely, or make sth. do this （使）悬垂；（使）吊着；（使）悬荡","e.g. We stood in the orchard (果园), where the apples were ripe and [[dangled]] just inches above our heads."
terrify,make sb. feel extremely frightened 使恐惧；使十分害怕；使惊吓,"e.g. He had imagined that going down in the caves late at night would [[terrify]] her, but instead she felt surprisingly calm."
bare,not covered by any clothes 裸体的；裸露的,"e.g. While she was walking around her house in [[bare]] feet, her mom just didn't seem to notice."
stroke,1) one of a set of movements in swimming or rowing in which you move your arms or the oar forward and then back （游泳或划船的）一次划水,"e.g. She walked into the water and began to swim with strong [[strokes]] to the middle of the lake.；e.g. It is reported that air pollution could also restrict blood flow, causing [[strokes]] and heart attacks."
stroke,"2) a sudden serious illness when a blood vessel in the brain bursts or is blocked, which can cause death or the loss of the ability to move or to speak clearly 脑卒中；中风","e.g. She walked into the water and began to swim with strong [[strokes]] to the middle of the lake.；e.g. It is reported that air pollution could also restrict blood flow, causing [[strokes]] and heart attacks."
loosen,make sth. less tight or firmly fixed; become less tight or firmly fixed （使）放松；变松,e.g. He took a screwdriver (螺丝刀) from his pocket and began to [[loosen]] the screws on the bike.
skydiver,[C] sb. who jumps from a plane and falls for as long as they can before opening the parachute （延缓张伞的）特技跳伞运动员,"e.g. As a [[skydiver]] falls, he accelerates downward, gaining speed with each second."
pose,"n.[C] a particular position in which sb. stands, sits, etc., esp. in order to be painted, drawn or photographed （为画像、拍照等摆的）姿势",e.g. Please ask the model to stay in that [[pose]] anywhere from 30 seconds to 1 minute.；e.g. Concerns about the danger [[posed]] by fireworks could lead to restrictions on their sale and use.
pose,"vt.create a threat, problem, etc. that has to be dealt with 造成（威胁、问题等）；引起；产生",e.g. Please ask the model to stay in that [[pose]] anywhere from 30 seconds to 1 minute.；e.g. Concerns about the danger [[posed]] by fireworks could lead to restrictions on their sale and use.
vanish,disappear suddenly and / or in a way that you cannot explain （莫名奇妙地）突然消失,e.g. Three boats [[vanished]] without a trace one day and have never been found.
sonar,[U] 声呐（船上或潜艇上利用声波探测水下目标位置的仪器）,
descent,"[C, U] (fml.) the process of going down 下降；降落",e.g. The night turned cold and heavy rain began to fall during our [[descent]] from the mountain peak.
tick,"vt. (AmE check) mark a test, list of questions, etc. with a tick, in order to show that sth. is correct, to choose sth., etc. 给（试卷、问题等）打钩号","e.g. She is used to [[ticking]] off all of the things that she has done before the end of the day.；e.g. The clock on the wall [[ticked]] away, its sound echoing through the otherwise silent room."
tick,"vi.(also ~ away) if a clock or watch ticks, it makes a short repeated sound （钟表）发出嘀嗒声","e.g. She is used to [[ticking]] off all of the things that she has done before the end of the day.；e.g. The clock on the wall [[ticked]] away, its sound echoing through the otherwise silent room."
agonizing,"(BrE agonising)1) very unpleasant to experience, esp. because of involving a difficult choice or a long wait （尤因难以抉择或等待过久而）折磨人的","e.g. For two [[agonizing]] minutes the plane dived, shook, and finally landed safely at the airport.；e.g. It was said that a few months ago Mr. Lin died after suffering years of [[agonizing]] pain."
agonizing,2) extremely painful 十分痛苦的,"e.g. For two [[agonizing]] minutes the plane dived, shook, and finally landed safely at the airport.；e.g. It was said that a few months ago Mr. Lin died after suffering years of [[agonizing]] pain."
headlight,[C] (also headlamp) （车辆的）前灯；车头灯（的光束）,
fog,"[C, U] 雾",
exhale,"(fml.) breathe out the air or smoke, etc. in our lungs 呼出，吐出（肺中的空气、烟等）；呼气","e.g. I changed my breathing pattern, inhaling and [[exhaling]] heavily after each set of exercise."
scuba,[C] 水肺；自携式水下呼吸器,
fin,"[C, usu. pl.] （潜水、游泳时用的）手蹼，脚蹼",
assist,help sb. to do sth. 协助；帮助,e.g. Families [[assisted]] teachers with the achievement of educational goals.
resurface,1) come back up to the surface of the water 重新露出水面,"e.g. When the [[divers]] did not [[resurface]] after an hour, three crew members dived down to look for them.；e.g. She [[resurfaced]] briefly about eight years later, to compete with Noriko again for $5 million."
resurface,2) appear again after being lost or missing （遗失或失踪后）再次出现,"e.g. When the [[divers]] did not [[resurface]] after an hour, three crew members dived down to look for them.；e.g. She [[resurfaced]] briefly about eight years later, to compete with Noriko again for $5 million."
cardiac,(only before noun) relating to the heart 心脏的,e.g. It is generally believed that patients with [[cardiac]] problems should avoid foods that are high in salt.
cardiac arrest,心脏停搏；心搏停止,
underwater,"(only before noun) below the surface of an area of water, or able to be used there 水下的；水下（使）用的",e.g. Each guide also includes full-color [[underwater]] photographs illustrating the marine life you could expect to see.
keenly,"1) if you look at sb. / sth. keenly or watch them keenly, you look closely at them and notice everything about them （观察）敏锐地",e.g. I looked at him [[keenly]]; he did not blink or even seem embarrassed by what he had just said.；e.g. Scientists are [[keenly]] interested in learning which substances make fruits and vegetables so healthful.
keenly,2) very strongly 强烈地,e.g. I looked at him [[keenly]]; he did not blink or even seem embarrassed by what he had just said.；e.g. Scientists are [[keenly]] interested in learning which substances make fruits and vegetables so healthful.
envelop,(fml.) cover or wrap sb. / sth. up completely 包住；覆盖,e.g. The mist and rain [[enveloped]] the forest and we could only see the nearest trees.
wilderness,"[C, usu. sing.] a large area of land that has never been developed or farmed 未开发的地区；荒野；荒凉之处","e.g. As we could see from the film, this place used to be a vast [[wilderness]] of mountains, lakes, and forests."
frontier,1) the limit of what is known about sth. 未完全开拓的领域；新领域,e.g. The study of the brain is often described by scientists as the next intellectual [[frontier]].；e.g. Many of the cars crossing the [[frontier]] were stopped and searched for illegal goods.
frontier,2) (esp. BrE) the border of a country 国界；边境,e.g. The study of the brain is often described by scientists as the next intellectual [[frontier]].；e.g. Many of the cars crossing the [[frontier]] were stopped and searched for illegal goods.
penalty,"[C] a punishment for breaking a law, rule, or legal agreement （因违反法律、规则或合约而受到的）惩罚，处罚",e.g. The contract includes heavy [[penalties]] for those people who fail to complete the work on time.
marine,(only before noun) relating to the sea and the creatures that live there 海洋的；海洋生物的,e.g. We are all quite familiar with news items concerning [[marine]] pollution due to oil spills.
fraction,[C] a very small amount of sth. 一点；少量,e.g. Employees' salaries are just a [[fraction]] of the total cost of the project.
exploration,1) the act of traveling through a place in order to find out about it or look for sth. in it 勘探；勘查；探索,e.g. You can use this hut as a base for [[explorations]] into the mountains and forests around.；e.g. This chapter begins with a detailed [[exploration]] of the issue of gender discrimination among all age groups.
exploration,2) an examination of sth. in order to find out about it 探究；研究；探测,e.g. You can use this hut as a base for [[explorations]] into the mountains and forests around.；e.g. This chapter begins with a detailed [[exploration]] of the issue of gender discrimination among all age groups.
mysterious,1) (esp. of people) strange and interesting because you do not know much about them 神秘的；陌生的,e.g. I decided to find out more about my [[mysterious]] new neighbor who lived on the top floor.；e.g. The police are investigating the [[mysterious]] disappearance of a new-born baby at the hospital.
mysterious,2) difficult to understand or explain; strange 神秘的；奇怪的；不易理解的,e.g. I decided to find out more about my [[mysterious]] new neighbor who lived on the top floor.；e.g. The police are investigating the [[mysterious]] disappearance of a new-born baby at the hospital.
handful,1) [sing.] (~ of) a small number of people or things 少数人或物,"e.g. The new book is by a man who's already written a [[handful]] of best-sellers, most of them about space exploration.；e.g. The boy picked up a [[handful]] of stones and started throwing them at us, which made us annoyed."
handful,2) [C] (~ of) the amount that you can hold in your hand 一把（的量）,"e.g. The new book is by a man who's already written a [[handful]] of best-sellers, most of them about space exploration.；e.g. The boy picked up a [[handful]] of stones and started throwing them at us, which made us annoyed."
sailor,[C] 水手；海员,
menace,[C] sb. / sth. that is dangerous 危险的人或事物,e.g. Drivers like that are a [[menace]]. They shouldn't be allowed on the road.
ape,[C] 猿,
on occasion,sometimes but not often 偶尔；偶然；有时,"e.g. We no longer keep up a close friendship, though we still visit each other on [[occasion]]."
on sb.'s (own) terms,according to the conditions that sb. wants 按照···的条件；根据···的主张,e.g. Don't just accept this job because it would make your parents happy — you need to act on your own [[terms]] for once.
William Trubridge,威廉 • 特鲁布里奇（新西兰自由潜水运动员）,
PBS (Public Broadcasting Service),（美国）公共广播公司,
